state,district,district_lat,district_lon,grid_lat,grid_lon,distance_km
Tripura,Dhalai,23.8253158,91.9732227,23.875,91.875,11.42
Jammu and Kashmir,Anantnag,33.74611,75.1854475,33.625,75.125,14.58
Bihar,Samastipur,25.7747885,85.8672314,25.875,85.875,11.17
Bihar,Sheohar,26.4934234,85.2717561,26.375,85.375,16.71
Manipur,Kakching,24.4974827,93.9835543,24.375,93.875,17.5
Madhya Pradesh,Chhatarpur,24.7606089,79.6781776,24.875,79.625,13.81
Andhra Pradesh,YSR Kadapa,14.5395752,78.6582332,14.625,78.625,10.15
Assam,Hailakandi,24.6846916,92.5645836,24.625,92.625,9.02
West Bengal,Kalimpong,27.0702869,88.4723676,27.125,88.375,11.4
West Bengal,Jhargram,22.4538505,86.9949477,22.375,86.875,15.13
