crop,market_id,state,horizon_weeks,market_wape_raw,market_n,market_wape_shrunk,state_wape_raw,state_n,state_wape_shrunk,crop_wape_raw
onion,233,Punjab,4,24.2,82,23.6,22.6,4631,22.6,21.3
onion,233,Punjab,13,41.1,73,35.6,27.7,4076,27.8,29.8
onion,233,Punjab,26,77.0,60,56.6,33.0,3323,33.1,35.4
onion,234,Punjab,1,13.3,62,14.2,15.4,4832,15.3,14.8
onion,234,Punjab,4,18.1,56,20.3,22.6,4631,22.6,21.3
onion,234,Punjab,13,24.7,38,26.5,27.7,4076,27.8,29.8
onion,234,Punjab,26,41.7,26,36.0,33.0,3323,33.1,35.4
onion,235,Punjab,1,19.2,85,17.7,15.4,4832,15.3,14.8
onion,235,Punjab,4,27.5,82,25.6,22.6,4631,22.6,21.3
onion,235,Punjab,13,36.9,73,33.1,27.7,4076,27.8,29.8
onion,235,Punjab,26,57.8,60,46.3,33.0,3323,33.1,35.4
onion,237,Punjab,1,13.1,85,14.0,15.4,4832,15.3,14.8
onion,237,Punjab,4,20.3,82,21.2,22.6,4631,22.6,21.3
onion,237,Punjab,13,23.5,73,25.3,27.7,4076,27.8,29.8
onion,237,Punjab,26,28.5,60,30.6,33.0,3323,33.1,35.4
onion,239,Punjab,1,13.4,85,14.2,15.4,4832,15.3,14.8
onion,239,Punjab,4,19.5,82,20.7,22.6,4631,22.6,21.3
onion,239,Punjab,13,22.9,73,24.9,27.7,4076,27.8,29.8
onion,239,Punjab,26,38.8,60,36.2,33.0,3323,33.1,35.4
onion,240,Punjab,1,14.0,85,14.5,15.4,4832,15.3,14.8
onion,240,Punjab,4,23.7,82,23.3,22.6,4631,22.6,21.3
onion,240,Punjab,13,27.8,73,27.8,27.7,4076,27.8,29.8
onion,240,Punjab,26,44.9,60,39.4,33.0,3323,33.1,35.4
onion,244,Rajasthan,1,18.5,40,16.7,15.4,2207,15.4,14.8
onion,244,Rajasthan,4,27.9,37,26.0,24.8,2111,24.7,21.3
onion,244,Rajasthan,13,40.1,28,52.1,60.1,1836,58.6,29.8
onion,244,Rajasthan,26,41.7,15,75.5,88.7,1472,85.3,35.4
onion,247,Rajasthan,1,21.4,85,19.1,15.4,2207,15.4,14.8
onion,247,Rajasthan,4,32.0,82,29.1,24.8,2111,24.7,21.3
onion,247,Rajasthan,13,141.9,73,107.2,60.1,1836,58.6,29.8
onion,247,Rajasthan,26,238.3,60,167.3,88.7,1472,85.3,35.4
onion,250,Rajasthan,1,14.2,85,14.7,15.4,2207,15.4,14.8
onion,250,Rajasthan,4,21.4,82,22.6,24.8,2111,24.7,21.3
onion,250,Rajasthan,13,51.2,73,54.3,60.1,1836,58.6,29.8
onion,250,Rajasthan,26,73.5,60,79.0,88.7,1472,85.3,35.4
onion,253,Rajasthan,1,22.9,85,20.0,15.4,2207,15.4,14.8
onion,253,Rajasthan,4,34.9,82,30.9,24.8,2111,24.7,21.3
onion,253,Rajasthan,13,82.9,73,72.8,60.1,1836,58.6,29.8
onion,253,Rajasthan,26,128.6,60,108.5,88.7,1472,85.3,35.4
onion,259,Rajasthan,1,16.6,85,16.2,15.4,2207,15.4,14.8
onion,259,Rajasthan,4,20.7,82,22.3,24.8,2111,24.7,21.3
onion,259,Rajasthan,13,39.9,73,47.7,60.1,1836,58.6,29.8
onion,259,Rajasthan,26,59.2,60,71.3,88.7,1472,85.3,35.4
onion,261,Rajasthan,1,15.3,85,15.4,15.4,2207,15.4,14.8
onion,261,Rajasthan,4,24.1,82,24.3,24.8,2111,24.7,21.3
onion,261,Rajasthan,13,58.4,73,58.4,60.1,1836,58.6,29.8
onion,261,Rajasthan,26,89.5,60,87.5,88.7,1472,85.3,35.4
onion,265,Rajasthan,1,15.6,82,15.5,15.4,2207,15.4,14.8
onion,265,Rajasthan,4,27.0,79,26.1,24.8,2111,24.7,21.3
onion,265,Rajasthan,13,72.7,70,66.7,60.1,1836,58.6,29.8
onion,265,Rajasthan,26,104.2,57,95.2,88.7,1472,85.3,35.4
onion,266,Rajasthan,1,16.7,85,16.2,15.4,2207,15.4,14.8
onion,266,Rajasthan,4,25.5,82,25.2,24.8,2111,24.7,21.3
onion,266,Rajasthan,13,87.3,73,75.3,60.1,1836,58.6,29.8
onion,266,Rajasthan,26,143.9,60,116.7,88.7,1472,85.3,35.4
onion,292,Tamil Nadu,1,11.8,85,11.7,11.6,13820,11.6,14.8
onion,292,Tamil Nadu,4,14.4,82,14.7,14.9,13306,15.0,21.3
onion,292,Tamil Nadu,13,15.5,73,17.0,19.0,11775,19.1,29.8
onion,292,Tamil Nadu,26,13.9,60,14.9,15.8,9565,16.1,35.4
onion,296,Tripura,1,10.7,85,11.1,11.4,1038,11.7,14.8
onion,296,Tripura,4,13.2,82,14.2,15.3,996,15.9,21.3
onion,296,Tripura,13,19.2,73,20.2,20.6,870,21.5,29.8
onion,296,Tripura,26,23.2,60,23.5,22.1,697,23.8,35.4
onion,297,Uttar Pradesh,1,17.0,85,16.0,14.3,9936,14.3,14.8
onion,297,Uttar Pradesh,4,24.8,82,23.1,20.6,9444,20.6,21.3
onion,297,Uttar Pradesh,13,33.9,73,32.2,30.0,8089,30.0,29.8
onion,297,Uttar Pradesh,26,58.5,60,55.7,52.6,6502,52.3,35.4
onion,298,Uttar Pradesh,1,14.7,85,14.5,14.3,9936,14.3,14.8
onion,298,Uttar Pradesh,4,20.4,82,20.4,20.6,9444,20.6,21.3
onion,298,Uttar Pradesh,13,29.5,73,29.7,30.0,8089,30.0,29.8
