crop,horizon_weeks,market_id,market,DM_stat,p_value,mean_d,n,better_model,significant_5pct
tomato,13,2200.0,Shadabad APMC,-0.8035,0.4225,-59171.479583,230,M6,False
tomato,13,2203.0,Awagarh APMC,-1.4256,0.1553,-70679.491418,230,M6,False
tomato,13,2204.0,Sirsaganj APMC,1.9174,0.0567,59335.237203,188,M8,False
tomato,13,2205.0,Tundla APMC,-1.4714,0.1425,-58282.488406,230,M6,False
tomato,13,2206.0,Kiratpur APMC,0.2727,0.7854,10870.097416,220,M8,False
tomato,13,2207.0,Nagina APMC,-0.4566,0.6485,-28534.283698,193,M6,False
tomato,13,2209.0,Dhanaura APMC,1.2015,0.2308,56644.863266,230,M8,False
tomato,13,2212.0,Anwala APMC,-1.4613,0.1453,-75541.843158,230,M6,False
tomato,13,2214.0,Wazirganj APMC,-0.3384,0.7355,-19274.977591,187,M6,False
tomato,13,2218.0,Choubepur APMC,0.5953,0.5523,27283.936188,199,M8,False
tomato,13,2222.0,Mohamadabad APMC,-2.1225,0.0359,-44223.201889,120,M6,True
tomato,13,2223.0,Achalda APMC,-0.5009,0.617,-5307.704734,201,M6,False
tomato,13,2227.0,Salon APMC,0.9711,0.3337,72183.340883,105,M8,False
tomato,13,2228.0,Viswan APMC,-0.867,0.3871,-28115.968101,180,M6,False
tomato,13,2236.0,Muskara APMC,-0.6611,0.5093,-22467.528993,198,M6,False
tomato,13,2239.0,Rudauli APMC,0.481,0.631,22346.907672,206,M8,False
tomato,13,2240.0,Nawabganj APMC,-1.8829,0.061,-43768.665125,230,M6,False
tomato,13,2243.0,Ahirora APMC,1.3293,0.1853,40689.733183,198,M8,False
tomato,13,2244.0,Doharighat APMC,-1.6448,0.1015,-131172.418669,218,M6,False
tomato,13,2245.0,Rasda APMC,-1.3688,0.1725,-41919.1746,217,M6,False
tomato,13,2246.0,Chitwadagaon APMC,-0.1422,0.8871,-5644.789585,190,M6,False
